epoch,train_loss,train_f1,valid_f1
1,1.676911679828885,0.5565148816469893,0.5246477707594438
2,1.059526067906076,0.6376167577826568,0.5870197256086886
3,0.857110648113253,0.6802416707848871,0.5974986286702489
4,0.7315650189501844,0.7068697844400086,0.6059411804834004
5,0.6432689935462731,0.7205878140932408,0.6006262815367732
6,0.5814803140823587,0.7337584502363115,0.6012401358227375
7,0.5361850744593016,0.7410305793040668,0.6064848540406913
8,0.5020541011645465,0.7428962351119401,0.608511782779008
9,0.47970583873046346,0.7462350151622922,0.591439340176365
10,0.46012571856751666,0.7517335224109657,0.6053551594406331
11,0.4476879016920598,0.7479826116290749,0.6014847359584116
